"","X.1","X","date","time","impressions","likes","shares","total_clicks","engagements","description","other_clicks","photo_views","comments","reach","vectorific","isOc","weekday"
"86",86,86,2021-03-14,"16:03",8,18,0,0,19,"",NA,NA,1,8,86,FALSE,"Sunday"
"87",87,87,2021-03-15,"08:03",9,4,0,0,4,"",NA,NA,0,9,87,FALSE,"Monday"
"88",88,88,2021-03-15,"14:03",9,11,0,0,11,"",NA,NA,0,9,88,FALSE,"Monday"
"89",89,89,2021-03-15,"16:03",13,18,1,0,19,"Sometimes I see people and wonder if they could secretly be one of you.",NA,NA,0,13,89,FALSE,"Monday"
"90",90,90,2021-03-16,"10:03",13,3,0,0,3,"Your admins whenever we say something mildly controversial.
TBH it seems like we're pretty far away from being zucced, but you never know.",NA,NA,0,12,90,FALSE,"Tuesday"
"91",91,91,2021-03-16,"17:03",9,8,2,0,10,"",NA,NA,0,9,91,FALSE,"Tuesday"
"92",92,92,2021-03-17,"10:03",9,16,1,0,17,"",NA,NA,0,9,92,FALSE,"Wednesday"
"93",93,93,2021-03-17,"19:03",11,35,6,1,45,"",1,NA,4,11,93,FALSE,"Wednesday"
"94",94,94,2021-03-18,"11:03",11,30,3,0,34,"",NA,NA,1,10,94,FALSE,"Thursday"
"95",95,95,2021-03-18,"13:03",19,20,3,0,23,"",NA,NA,0,17,95,FALSE,"Thursday"
"96",96,96,2021-03-19,"11:03",12,22,0,0,22,"Imagine thinking any numbers mattered other than your 1 rep maxes.",NA,NA,0,12,96,FALSE,"Friday"
"97",97,97,2021-03-20,"01:03",10,32,4,0,36,"",NA,NA,0,10,97,FALSE,"Saturday"
"98",98,98,2021-03-20,"15:03",31,36,19,0,56,"Someone just saw Joker again
OC",NA,NA,1,28,98,TRUE,"Saturday"
"99",99,99,2021-03-21,"10:03",14,6,0,1,6,"I figured it out guys. the only possible explanation for Cats (2019) is that somehow it was the only way to save the timeline.
OC",NA,1,0,13,99,TRUE,"Sunday"
"100",100,100,2021-03-21,"19:03",10,6,1,1,7,"",1,NA,0,10,100,FALSE,"Sunday"
"101",101,101,2021-03-21,"23:03",2,16,1,0,17,"",NA,NA,0,1,101,FALSE,"Sunday"
"102",102,102,2021-03-22,"15:03",30,9,3,0,14,"",NA,NA,2,28,102,FALSE,"Monday"
"103",103,103,2021-03-22,"15:03",18,7,0,0,7,"More OC about books that I haven't read, but the other  admins have",NA,NA,0,18,103,TRUE,"Monday"
"104",104,104,2021-03-22,"18:03",13,17,1,0,21,"",NA,NA,3,12,104,FALSE,"Monday"
"105",105,105,2021-03-23,"10:03",442,23,0,61,27,"",60,NA,4,429,105,FALSE,"Tuesday"
"106",106,106,2021-03-23,"16:03",14,26,3,0,30,"",NA,NA,1,14,106,FALSE,"Tuesday"
"107",107,107,2021-03-23,"16:03",15,4,0,0,4,"All three characters here are me",NA,NA,0,15,107,FALSE,"Tuesday"
"108",108,108,2021-03-23,"21:03",15,21,3,0,24,"",NA,NA,0,15,108,FALSE,"Tuesday"
"109",109,109,2021-03-24,"13:03",15,12,1,0,13,"",NA,NA,0,15,109,FALSE,"Wednesday"
"110",110,110,2021-03-24,"20:03",15,22,5,3,28,"",NA,3,1,15,110,FALSE,"Wednesday"
"111",111,111,2021-03-25,"11:03",15,3,0,0,3,"",NA,NA,0,15,111,FALSE,"Thursday"
"112",112,112,2021-03-25,"12:03",16,20,2,0,23,"No explanation necessary.",NA,NA,1,15,112,FALSE,"Thursday"
"113",113,113,2021-03-26,"21:03",21,12,0,0,14,"Wittgenstein isn't on this list because he's actually an Austrian, and  people don't consider Austrians Germans these days.  Actually, how German Austrians are has historically been a loaded question, to say the least.",NA,NA,2,20,113,FALSE,"Friday"
"114",114,114,2021-03-27,"10:03",15,17,0,0,17,"",NA,NA,0,15,114,FALSE,"Saturday"
"115",115,115,2021-03-27,"22:03",17,18,2,0,23,"",NA,NA,3,17,115,FALSE,"Saturday"
"116",116,116,2021-03-27,"23:03",16,33,3,0,36,"",NA,NA,0,16,116,FALSE,"Saturday"
"117",117,117,2021-03-27,"23:03",17,2,0,0,2,"",NA,NA,0,17,117,FALSE,"Saturday"
"118",118,118,2021-03-29,"01:03",20,18,1,0,19,"No one:
Sartre:

(Not OC)",NA,NA,0,20,118,TRUE,"Monday"
"119",119,119,2021-03-29,"10:03",18,23,2,0,27,"Me and the boys off to philosophy club",NA,NA,2,18,119,FALSE,"Monday"
"120",120,120,2021-03-29,"15:03",18,46,6,0,53,"Ironically of course Plato's deadlift PR probably could back it up",NA,NA,1,18,120,FALSE,"Monday"
"121",121,121,2021-03-29,"19:03",18,38,8,0,47,"Eldritch eldritch eldritch monolithic cyclopean eldritch eldritch eldritch.",NA,NA,1,18,121,FALSE,"Monday"
"122",122,122,2021-03-30,"11:03",20,7,0,0,7,"",NA,NA,0,19,122,FALSE,"Tuesday"
"123",123,123,2021-03-30,"13:03",29,5,3,2,8,"Imagine believing in a tabla raza.",2,NA,0,28,123,FALSE,"Tuesday"
"124",124,124,2021-03-30,"22:03",21,37,3,0,44,"",NA,NA,4,20,124,FALSE,"Tuesday"
"125",125,125,2021-03-31,"11:03",21,12,0,0,12,"",NA,NA,0,21,125,FALSE,"Wednesday"
"126",126,126,2021-03-31,"11:03",27,15,2,0,18,"Buh .buh.buh..but muh Fibonaccii sequences!",NA,NA,1,27,126,FALSE,"Wednesday"
"127",127,127,2021-03-31,"15:03",25,6,0,0,6,"C'est ne pa une traffic light.",NA,NA,0,25,127,FALSE,"Wednesday"
"128",128,128,2021-01-30,"01:01",3,8,0,0,10,"",NA,NA,2,3,128,FALSE,"Saturday"
"129",129,129,2021-01-01,"14:01",4,17,0,0,17,"",NA,NA,0,4,129,FALSE,"Friday"
"130",130,130,2021-01-02,"13:01",7,8,3,1,11,"OC",1,NA,0,7,130,TRUE,"Saturday"
"131",131,131,2021-01-03,"08:01",3,14,2,0,17,"",NA,NA,1,3,131,FALSE,"Sunday"
"132",132,132,2021-01-03,"09:01",3,14,1,1,17,"I feel called out",NA,1,2,3,132,FALSE,"Sunday"
"133",133,133,2021-01-03,"16:01",3,14,0,0,14,"",NA,NA,0,3,133,FALSE,"Sunday"
"134",134,134,2021-01-04,"12:01",8,6,5,0,12,"",NA,NA,1,8,134,FALSE,"Monday"
"135",135,135,2021-01-05,"01:01",3,8,0,0,9,"",NA,NA,1,3,135,FALSE,"Tuesday"
"136",136,136,2021-01-06,"00:01",6,13,1,0,15,"",NA,NA,1,6,136,FALSE,"Wednesday"
"137",137,137,2021-01-06,"20:01",3,6,0,0,6,"",NA,NA,0,3,137,FALSE,"Wednesday"
"138",138,138,2021-01-06,"23:01",5,4,0,0,7,"Admittedly, with a lot of the quarantine going down we've been leaning heavier on the ""Philosophical"" than on the ""Gym Bro.""",NA,NA,3,5,138,FALSE,"Wednesday"
"139",139,139,2021-01-07,"16:01",3,13,1,0,14,"",NA,NA,0,3,139,FALSE,"Thursday"
"140",140,140,2021-01-08,"15:01",3,5,2,0,7,"",NA,NA,0,3,140,FALSE,"Friday"
"141",141,141,2021-01-08,"18:01",5,17,1,1,20,"",1,NA,2,4,141,FALSE,"Friday"
"142",142,142,2021-01-09,"13:01",3,21,3,0,24,"",NA,NA,0,3,142,FALSE,"Saturday"
"143",143,143,2021-01-09,"22:01",21,26,8,0,37,"O.C. feeling a bit absurd might delet later.",NA,NA,3,20,143,TRUE,"Saturday"
"144",144,144,2021-01-10,"10:01",13,29,10,0,41,"The amount of time it takes to recover after a lift is about the same as the length of time it takes to write a d(oc)toral thesis .",NA,NA,2,13,144,TRUE,"Sunday"
"145",145,145,2021-01-10,"21:01",3,9,2,0,12,"",NA,NA,1,3,145,FALSE,"Sunday"
"146",146,146,2021-01-11,"08:01",34,24,9,0,34,"Dude this always happens to me. 
O.C.",NA,NA,1,32,146,TRUE,"Monday"
"147",147,147,2021-01-12,"08:01",3,19,2,0,22,"",NA,NA,1,3,147,FALSE,"Tuesday"
"148",148,148,2021-01-12,"19:01",6,1,2,0,3,"O.C. Gyms aren't a prison tho.",NA,NA,0,6,148,TRUE,"Tuesday"
"149",149,149,2021-01-12,"22:01",4,29,4,1,33,"",1,NA,0,4,149,FALSE,"Tuesday"
"150",150,150,2021-01-13,"09:01",6,8,4,0,15,"The chad Descartes. The virgin Renee
O.C.",NA,NA,3,6,150,TRUE,"Wednesday"
"151",151,151,2021-01-13,"10:01",3,8,1,1,9,"",NA,1,0,3,151,FALSE,"Wednesday"
"152",152,152,2021-01-14,"08:01",6,5,0,0,5,"ScIEnce IsN't IdEoLoGiCaL...
(O.C)",NA,NA,0,6,152,TRUE,"Thursday"
"153",153,153,2021-01-14,"11:01",3,12,1,0,17,"Well, we really end up talking about Hegel and Freud a lot too, but this does apply to us.",NA,NA,4,3,153,FALSE,"Thursday"
"154",154,154,2021-01-14,"23:01",24,20,7,0,34,"Honestly the only thing legendary about me is how many books I've failed to read to the finish. XD",NA,NA,7,19,154,FALSE,"Thursday"
"155",155,155,2021-01-15,"10:01",10,27,3,0,30,"OC
Dostoyevsky be like",NA,NA,0,10,155,TRUE,"Friday"
"156",156,156,2021-01-16,"00:01",3,13,2,0,15,"Wait 'til he gets pummeled by the object a",NA,NA,0,3,156,FALSE,"Saturday"
"157",157,157,2021-01-17,"10:01",3,16,1,0,17,"",NA,NA,0,3,157,FALSE,"Sunday"
"158",158,158,2021-01-18,"14:01",15,6,4,1,10,"",1,NA,0,14,158,FALSE,"Monday"
"159",159,159,2021-01-19,"10:01",8,21,3,0,24,"OC",NA,NA,0,7,159,TRUE,"Tuesday"
"160",160,160,2021-01-19,"14:01",4,13,1,0,15,""" Hrmmm Durr Yes, Ideas exist separate from material reality"" Sounds like a way to get away from your own weak material body.",NA,NA,1,4,160,FALSE,"Tuesday"
"161",161,161,2021-01-20,"16:01",7,14,2,0,16,"",NA,NA,0,6,161,FALSE,"Wednesday"
"162",162,162,2021-01-22,"18:01",3,8,0,0,8,"",NA,NA,0,3,162,FALSE,"Friday"
"163",163,163,2021-01-22,"19:01",5,0,0,0,0,"Sorry for the blur, it was a small Ad in my timeline. Click to see the whole image.",NA,NA,0,5,163,FALSE,"Friday"
"164",164,164,2021-01-23,"12:01",3,20,3,0,25,"",NA,NA,2,3,164,FALSE,"Saturday"
"165",165,165,2021-01-23,"23:01",82,16,5,0,22,"Low-effort OC summarizing the Freud-Einstein correspondence",NA,NA,1,78,165,TRUE,"Saturday"
"166",166,166,2021-01-24,"11:01",3,24,0,0,24,"",NA,NA,0,3,166,FALSE,"Sunday"
"167",167,167,2021-01-24,"18:01",6,0,2,0,2,"Historymin just got Affinity. No more low effort MSPaint OC! Now just low effort OC in general.",NA,NA,0,6,167,TRUE,"Sunday"
"168",168,168,2021-01-25,"11:01",2,10,0,0,10,"",NA,NA,0,2,168,FALSE,"Monday"
"169",169,169,2021-01-25,"12:01",7,11,2,0,14,"Not quite direct quote from one of admin's professors",NA,NA,1,7,169,FALSE,"Monday"
"170",170,170,2021-01-26,"13:01",29,18,17,1,44,"OC",1,NA,9,19,170,TRUE,"Tuesday"
"171",171,171,2021-01-27,"10:01",11,44,6,0,56,"OC",NA,NA,6,11,171,TRUE,"Wednesday"
"172",172,172,2021-01-27,"14:01",9,4,0,0,5,"OC, from Heidegger's ""Building Dwelling Thinking""",NA,NA,1,9,172,TRUE,"Wednesday"
"173",173,173,2021-01-27,"19:01",6,9,0,0,9,"Yes, Gymmin is taking a humanities class. How can you tell?",NA,NA,0,6,173,FALSE,"Wednesday"
"174",174,174,2021-01-27,"23:01",3,12,22,0,34,"",NA,NA,0,3,174,FALSE,"Wednesday"
"175",175,175,2021-01-28,"08:01",115,45,38,3,93,"Yo, anybody out there listening to Wattswave in the gym?",2,NA,10,93,175,FALSE,"Thursday"
"176",176,176,2021-01-28,"15:01",5,17,1,0,19,"I know that's you Descartes you can't fool me",NA,NA,1,5,176,FALSE,"Thursday"
"177",177,177,2021-01-28,"16:01",8,44,3,0,50,"Not OC",NA,NA,3,8,177,TRUE,"Thursday"
"178",178,178,2021-01-29,"08:01",8,6,2,1,8,"O.O",1,NA,0,8,178,FALSE,"Friday"
"179",179,179,2021-01-29,"09:01",3,32,4,0,36,"",NA,NA,0,3,179,FALSE,"Friday"
"180",180,180,2021-01-01,"12:01",4,12,0,0,14,"",NA,NA,2,4,180,FALSE,"Friday"
"181",181,181,2021-04-14,"19:04",39,8,0,1,8,"",NA,1,0,38,181,FALSE,"Wednesday"
"182",182,182,2021-04-15,"19:04",39,11,1,0,12,"",NA,NA,0,38,182,FALSE,"Thursday"
"183",183,183,2021-04-15,"19:04",39,24,1,0,25,"",NA,NA,0,38,183,FALSE,"Thursday"
"184",184,184,2021-04-16,"23:04",40,9,1,1,10,"When you haven't done the reading but you watched a YouTube video on the topic",NA,1,0,38,184,FALSE,"Friday"
"185",185,185,2021-04-17,"18:04",41,14,0,0,14,"Ya boi has a dark past.
o.c.",NA,NA,0,40,185,FALSE,"Saturday"
"186",186,186,2021-04-18,"08:04",77,7,2,0,9,"no gains were harmed in the making of this meme
OC",NA,NA,0,74,186,TRUE,"Sunday"
"187",187,187,2021-04-18,"12:04",265,33,12,9,50,"What it's like drinking a red bull (for people without a ridiculous amount of caffeine tolerance from working night shift.)
O.C.",9,NA,5,250,187,TRUE,"Sunday"
"188",188,188,2021-04-18,"17:04",40,24,1,0,25,"",NA,NA,0,39,188,FALSE,"Sunday"
"189",189,189,2021-04-20,"11:04",54,16,6,0,22,"He managed to look incredibly disillusioned even at this own wedding.",NA,NA,0,49,189,FALSE,"Tuesday"
"190",190,190,2021-04-21,"13:04",50,21,1,0,22,"Output has been low because it's almost finals week",NA,NA,0,46,190,FALSE,"Wednesday"
"191",191,191,2021-04-24,"11:04",47,27,2,0,29,"",NA,NA,0,44,191,FALSE,"Saturday"
"192",192,192,2021-04-24,"16:04",87,25,3,0,32,"",NA,NA,4,74,192,FALSE,"Saturday"
"193",193,193,2021-04-24,"16:04",90,29,5,5,35,"",NA,5,1,77,193,FALSE,"Saturday"
"194",194,194,2021-04-24,"18:04",51,25,4,1,30,"",NA,1,1,47,194,FALSE,"Saturday"
"195",195,195,2021-04-25,"12:04",45,22,0,0,22,"",NA,NA,0,41,195,FALSE,"Sunday"
"196",196,196,2021-04-25,"19:04",43,19,0,0,21,"",NA,NA,2,39,196,FALSE,"Sunday"
"197",197,197,2021-04-26,"08:04",74,15,3,2,18,"Can I have uh......
O.C.",NA,2,0,69,197,TRUE,"Monday"
"198",198,198,2021-04-26,"19:04",72,11,1,7,12,"Philosophy 102 level jokes.
Behind the times O.C.",5,2,0,68,198,TRUE,"Monday"
"199",199,199,2021-04-26,"20:04",59,23,1,0,24,"Fs in the chat",NA,NA,0,54,199,FALSE,"Monday"
"200",200,200,2021-04-26,"20:04",55,19,3,0,22,"",NA,NA,0,51,200,FALSE,"Monday"
"201",201,201,2021-04-27,"17:04",123,18,5,1,23,"True Story time from Gymmin.

One of my roommates got like a 7 day pass to a crossfit gym. When I came home, he started telling me about what a great workout he'd gotten there on like day 4, and started bragging about how intense it was.

To prove his point, he pulled down his pants (Less weird in context than it sounds) to show like 8"" diameter bruises on both of his thighs from all of the cleans and jerks they were doing at apparently a weight high enough that he couldn't complete them without slamming the bar into his legs.

-_-

That's all. That was my only real experience with crossfit and it confirmed what I'd heard about it from memes online.",1,NA,0,113,201,FALSE,"Tuesday"
"202",202,202,2021-04-27,"23:04",22,34,3,6,39,"",NA,6,2,22,202,FALSE,"Tuesday"
"203",203,203,2021-04-28,"20:04",221,27,2,10,34,"The End.

I strongly recommend Robert Salpolsky's lectures on behavioral evolution to all of y'all. I listened to them in the gym and when I did running.",8,2,5,197,203,FALSE,"Wednesday"
"204",204,204,2021-04-30,"11:04",748,40,8,26,49,"Not OC",20,6,1,707,204,TRUE,"Friday"
"205",205,205,2021-04-30,"14:04",255,6,1,3,7,"",1,2,0,245,205,FALSE,"Friday"
"206",206,206,2021-04-30,"23:04",318,18,2,17,20,"",5,12,0,315,206,FALSE,"Friday"
"207",207,207,2021-05-01,"00:05",655,15,5,18,23,"When your dog eats your existentialism homework.
Mildly cringy O.C.",15,3,3,632,207,TRUE,"Saturday"
"208",208,208,2021-05-01,"23:05",684,27,4,48,33,"",23,25,2,682,208,FALSE,"Saturday"
"209",209,209,2021-05-02,"18:05",436,17,4,26,21,"",10,16,0,429,209,FALSE,"Sunday"
"210",210,210,2021-05-02,"23:05",364,6,0,15,6,"",10,5,0,347,210,FALSE,"Sunday"
"211",211,211,2021-05-03,"21:05",470,14,2,28,16,"",17,11,0,456,211,FALSE,"Monday"
"212",212,212,2021-05-05,"14:05",561,30,3,42,34,"",27,15,1,552,212,FALSE,"Wednesday"
"213",213,213,2021-05-06,"00:05",406,8,0,11,8,"",9,2,0,401,213,FALSE,"Thursday"
"214",214,214,2021-05-06,"09:05",489,14,3,18,17,"Found in the wild.",7,11,0,474,214,FALSE,"Thursday"
"215",215,215,2021-05-06,"13:05",304,2,0,20,2,"Hmmm...",20,NA,0,290,215,FALSE,"Thursday"
"216",216,216,2021-05-07,"08:05",603,34,3,51,38,"",38,13,1,592,216,FALSE,"Friday"
"217",217,217,2021-05-07,"16:05",560,17,2,60,19,"",51,9,0,559,217,FALSE,"Friday"
